artist_name,genre,total_artist_weighted_acousticness,total_artist_weighted_danceability,total_artist_weighted_energy,total_artist_weighted_instrumentalness,total_artist_weighted_liveness,total_artist_weighted_speechiness,total_artist_weighted_valence
Aaron Watson,country,0.33499976454018887,0.5698680443921872,0.6128060476852177,0.002198978424587348,0.3330538315029855,0.050565835898897286,0.5297165348532263
Alabama,country,0.28785988085971465,0.5480336971563866,0.5222570203916752,0.00576679007444398,0.2983939360320593,0.03983647013740407,0.5009648991007511
Alan Jackson,country,0.3654170908748392,0.615264452457991,0.4946956935050761,0.00391659342595987,0.18186321439091663,0.03204290710645546,0.5069515302901662
Blake Shelton,country,0.17289330250391244,0.5688701526557315,0.697639458702307,0.03018967075762611,0.214958487017457,0.03631101108080371,0.5232670539378937
Brad Paisley,country,0.29121942629308223,0.5300727193790573,0.6550499184583352,0.06172910349915877,0.24521444287695207,0.03941203683967427,0.4961483385477197
Brett Young,country,0.19392458017034633,0.579370893655145,0.6240045209412433,0.00032384775784129476,0.12338376355072223,0.14048659961286472,0.5573906618140294
Brooks & Dunn,country,0.19585874960590835,0.5971796893041986,0.6967901233762435,0.0026483576113791396,0.2156363109453739,0.03824679574004207,0.5594502022286907
Brothers Osborne,country,0.1961721183346038,0.616408426652146,0.6745789371009112,0.038857802358152733,0.14975575625125018,0.04131856866893632,0.5983918884106573
Buck Owens,country,0.5143346700926157,0.5465669537528663,0.5215642705217183,0.029119765860991537,0.26884219640959134,0.06434618954020692,0.7468626879674359
Carly Pearce,country,0.35045342242133676,0.618893669994476,0.6105794705750521,9.006828132556306e-06,0.17874281935415223,0.30396604803907074,0.5394056541769072
Carrie Underwood,country,0.2913306813804347,0.48677042121745817,0.7194230526728155,9.938113670799453e-06,0.1401780371603934,0.04855497744290537,0.3788055462745462
Charley Pride,country,0.5636544809729724,0.5702048902097531,0.44252960435819017,0.0031959619625022925,0.19862660012855382,0.03228205518078617,0.6613340892937772
